mainform;variation;count;details
fuck;fuck, fucked, fucking, fuckin', fuckin, fuckent, fucke, fuck', fucké, fuckeus, fuckerais, fuckées, fuckons, fu-cke, fu-ckeus, fuckerz, fuckeur, fuckeuses, fuckais, fuckings, fuckeuh;2972;fuck (2673), fucked (113), fucking (113), fuckin' (32), fuckin (16), fuckent (6), fucke (3), fuck' (2), fucké (2), fuckeus (1), fuckerais (1), fuckées (1), fuckons (1), fu-cke (1), fu-ckeus (1), fuckerz (1), fuckeur (1), fuckeuses (1), fuckais (1), fuckings (1), fuckeuh (1)
flow;flow, flows;3041;flow (2641), flows (400)
poto;poto, potos, poto';2468;poto (1682), potos (785), poto' (1)
meuf;meuf, meufs, meuf', meufes, meufs';2313;meuf (1410), meufs (890), meuf' (11), meufes (1), meufs' (1)
mc;mc, emcee, emcees, emcee's, emc's;1628;mc (1555), emcee (37), emcees (25), emcee's (9), emc's (2)
biff;biff, biff', biffe, biffs, biffes;1421;biff (1260), biff' (102), biffe (34), biffs (19), biffes (6)
mic;mic, mic', mics;1481;mic (1162), mic' (285), mics (34)
street;street, streets, streetzer, street'zer, te-stree, street-zer, streetz, te-stre, teu-stree;1260;street (1187), streets (21), streetzer (16), street'zer (16), te-stree (14), street-zer (3), streetz (1), te-stre (1), teu-stree (1)
keufs;keufs, keuf, keuf', keu-fli, keuffs, keufs', coeff', keufli;1360;keufs (1122), keuf (230), keuf' (2), keu-fli (2), keuffs (1), keufs' (1), coeff' (1), keufli (1)
tess;tess, tess', tec', tèce, té-c', tèss, téc', tèc', téce, te-c', tesse, tèces, téss', 'té-c', tés-c', té-c, tece, téc, té-c's, té'ç, tè-c, tè-ce, te-c, téss, tesse', 'té-c;1307;tess (894), tess' (225), tec' (48), tèce (33), té-c' (28), tèss (18), téc' (13), tèc' (7), téce (6), te-c' (5), tesse (4), tèces (4), téss' (3), 'té-c' (3), tés-c' (2), té-c (2), tece (2), téc (2), té-c's (1), té'ç (1), tè-c (1), tè-ce (1), te-c (1), téss (1), tesse' (1), 'té-c (1)
beat;beat, beats, beatz, beatzz, beaté;1363;beat (1137), beats (209), beatz (15), beatzz (1), beaté (1)
big;big, bigs, big's, big';923;big (914), bigs (7), big's (1), big' (1)
bad;bad;1555;
life;life, lifes, life's;744;life (716), lifes (26), life's (2)
bitch;bitch, biatch, bitches, bitchs, biatchs, bitchies, biatches, bitchiz, bitche, bitch', bitcheeeeez, bitchees, bitchess, bitchez, bitcher, bitchh;2236;bitch (1338), biatch (267), bitches (245), bitchs (220), biatchs (81), bitchies (55), biatches (11), bitchiz (7), bitche (4), bitch' (2), bitcheeeeez (1), bitchees (1), bitchess (1), bitchez (1), bitcher (1), bitchh (1)
check;check, tcheck, tchek, checke, checker, checkent, checké, checkes, checkez, tchecker, chek, tcheker, cheker, tchek', chekent, checkin, checkin', checkées, tchekent, tchekes;918;check (672), tcheck (50), tchek (48), checke (46), checker (37), checkent (17), checké (13), checkes (8), checkez (6), tchecker (4), chek (4), tcheker (4), cheker (2), tchek' (1), chekent (1), checkin (1), checkin' (1), checkées (1), tchekent (1), tchekes (1)
cool;cool, cools;931;cool (882), cools (49)
tass';tass', tass, 'tasses, 'tasse, tasses, 'tass, tasse';722;tass' (179), tass (165), 'tasses (162), 'tasse (114), tasses (84), 'tass (14), tasse' (4)
moula;moula, mula, moulaga, mulah, moulah, moulaya;361;moula (271), mula (80), moulaga (7), mulah (1), moulah (1), moulaya (1)
belek;belek, bellek, beleck, belleck, bellec, belec, bellick, belek', belekk;572;belek (359), bellek (115), beleck (57), belleck (30), bellec (4), belec (3), bellick (2), belek' (1), belekk (1)
biz;biz, biz', bizz, buis', bizz', buiss', biz-biz, biz's;956;biz (595), biz' (209), bizz (109), buis' (29), bizz' (8), buiss' (3), biz-biz (2), biz's (1)
bicrave;bicrave, bicravent, bicraveur, bicraveurs, bicraves, bicravais, bicravait, bicrav, bibi', bicraver, bi-bicrave, bicrav', bikrav, bicravaient, bicravant, re-bicrave, rebibi, bicravera, bicraverais, bicraverait, bicraveront, bicravez, rebicrave, bikravant, bikrave, bikraveur;855;bicrave (642), bicravent (55), bicraveur (44), bicraveurs (31), bicraves (28), bicravais (9), bicravait (8), bicrav (7), bibi' (5), bicraver (4), bi-bicrave (3), bicrav' (2), bikrav (2), bicravaient (2), bicravant (2), re-bicrave (1), rebibi (1), bicravera (1), bicraverais (1), bicraverait (1), bicraveront (1), bicravez (1), rebicrave (1), bikravant (1), bikrave (1), bikraveur (1)
zik;zik, 'sique, zic, 'zique, zik', zique, zic', ziks, 'zik, 'siques, 'zic, sique, 'ziques, zique', ziq, ziques, sique', zick', zig';831;zik (391), 'sique (159), zic (99), 'zique (50), zik' (37), zique (35), zic' (16), ziks (11), 'zik (9), 'siques (8), 'zic (4), sique (4), 'ziques (2), zique' (1), ziq (1), ziques (1), sique' (1), zick' (1), zig' (1)
gun;gun, guns;734;gun (526), guns (208)
kho;kho, khos, khoya, khouya, kho', khoyas, khouyas, kholoto, kholotos, khoroto, kholot, khorotos, kholotte, khoo, kho's, kho-kho, kholo, khosss, khoro, khoy', khoys;684;kho (274), khos (193), khoya (101), khouya (60), kho' (9), khoyas (8), khouyas (8), kholoto (8), kholotos (7), khoroto (3), kholot (2), khorotos (2), kholotte (1), khoo (1), kho's (1), kho-kho (1), kholo (1), khosss (1), khoro (1), khoy' (1), khoys (1)
mif;mif, mif', miff, miff', mifs, 'mif', miffs, mi-f', mi-f;668;mif (263), mif' (188), miff (173), miff' (31), mifs (4), 'mif' (3), miffs (3), mi-f' (2), mi-f (1)
crew;crew, crews;729;crew (675), crews (54)
renoi;renoi, renois, re-noi, re-nois, res-noi, renoi', renoie, renoirs, res-noir;662;renoi (398), renois (156), re-noi (85), re-nois (15), res-noi (4), renoi' (1), renoie (1), renoirs (1), res-noir (1)
ken;ken, ken', quen', 'ken, quèn, quène, kène, 'ken', kén, que-n, quen, què-n, kéne;715;ken (671), ken' (16), quen' (6), 'ken (4), quèn (3), quène (3), kène (3), 'ken' (2), kén (2), que-n (2), quen (1), què-n (1), kéne (1)
feat;feat, featuring, feats, feat', featurings, feater, feature, featé, feate, featent, featais, featait;824;feat (483), featuring (154), feats (83), feat' (49), featurings (26), feater (19), feature (3), featé (3), feate (1), featent (1), featais (1), featait (1)
